,SARS_COV2,ACE2,Ang,AGTR1,ADAM17,Toci,Sil6R,EGF,TNF,Gefi,EGFR,PRR,NFKB,IL6STAT3,IL6AMP,cytok
30,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
31,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
32,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
37,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1
38,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
39,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
40,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
41,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0
42,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
43,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
44,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0
45,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
46,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
47,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1
48,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1
49,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
50,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
51,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
52,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
53,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
54,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
56,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
57,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
58,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1
59,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
60,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
61,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
62,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
63,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
64,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
65,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
66,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
67,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
68,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
69,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
70,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
71,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
72,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
73,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
74,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
75,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
76,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
77,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
80,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
81,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0
82,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0
83,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
84,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
85,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1
86,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
87,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
88,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
89,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1
90,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
92,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1
93,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
94,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
95,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
96,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
97,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
98,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
99,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
100,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
101,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
102,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0
103,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0
104,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0
105,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
106,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
107,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
108,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0
109,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1
110,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
111,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
112,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
113,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1
114,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
115,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
116,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1
117,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
118,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
119,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
120,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
121,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1
122,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
123,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1
124,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
125,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
126,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0
127,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
128,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
129,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
130,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
131,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
132,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
133,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
134,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
135,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1
136,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
137,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1
138,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
139,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
140,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
141,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
142,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1
143,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0
144,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
145,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
146,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1
147,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
148,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
149,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1
150,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
151,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
152,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
153,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
154,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
155,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
156,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
157,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
158,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
159,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
160,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
161,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
162,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
163,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
164,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
165,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1
166,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
167,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
168,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
169,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
170,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
171,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
172,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0
173,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
174,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
175,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
176,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
177,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
178,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1
179,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
180,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
181,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
182,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
183,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1
184,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
185,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1
186,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
187,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
188,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1
189,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
190,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
191,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
192,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
193,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
194,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
195,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
196,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
197,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
198,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
199,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
200,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
201,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
202,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
203,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
204,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
205,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
206,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
207,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
208,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
209,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
210,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
211,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
212,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
213,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
214,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
215,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
216,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
217,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0
218,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
219,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1
220,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
221,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
222,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
223,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
224,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
225,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
226,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
227,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
228,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
229,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
230,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
231,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
232,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
233,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
234,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
235,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
236,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1
237,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
239,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
240,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
241,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
242,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
243,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0
244,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
245,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
246,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
247,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
248,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
249,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
250,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
251,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1
252,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
253,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0
254,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
255,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
256,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
257,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
258,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
259,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
